Số báo danh,Khối Thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa lý,GDCD
01000001,khxh,3.6,5,2.75,-1,-1,-1,6,4,8.75
01000002,khxh,8.4,6.75,8.5,-1,-1,-1,7.5,7.6,8.25
01000003,khxh,5.8,7.5,7.25,-1,-1,-1,5.5,5,8.75
01000004,khxh,7.4,7.5,7.5,-1,-1,-1,6.5,8.6,7.5
01000005,khxh,7.2,8.5,8,-1,-1,-1,8.5,9,8.25
01000006,khxh,6.8,8.5,7,-1,-1,-1,7.5,9.4,9.25
01000007,khxh,7.2,6,8,-1,-1,-1,7.5,5,9
01000008,khxh,8,8,5.25,-1,-1,-1,7,8,7
01000009,khxh,2.6,5.25,-1,-1,-1,-1,5.25,6.75,-1
01000010,khxh,8.8,8,6.5,-1,-1,-1,6.5,7,6.75
01000011,khtn,6.4,8,7.6,3.5,3,7.25,-1,-1,-1
01000012,khxh,6.4,7.5,-1,-1,-1,-1,5,8,4.75
01000013,khxh,8.2,7.75,7,-1,-1,-1,7.5,6.4,7.75
01000014,khxh,5.8,5.5,8.5,-1,-1,-1,8,6.4,-1
01000015,khtn,8.6,3.25,9.6,8.25,4.25,7.25,-1,-1,-1
01000016,khtn,7.8,8,8.4,4.25,4.75,5.75,-1,-1,-1
01000017,khtn,8.6,3.5,7,7,3.75,6.25,-1,-1,-1
01000018,khxh,6.2,8.25,6.75,-1,-1,-1,6.5,6.6,8.25
01000019,khxh,6.8,7.5,-1,-1,-1,-1,6.25,8,7.25
01000020,khxh,-1,6.75,-1,-1,-1,-1,8.5,8,-1
01000021,khxh,8,9,-1,-1,-1,-1,6.25,8.75,7
01000022,khxh,7.8,8,7.75,-1,-1,-1,6.5,7.6,9.25
01000023,khtn,6.8,5.5,6.8,2.5,3,6,-1,-1,-1
01000024,khtn,8.6,8.5,9.8,7.75,6.75,6.5,-1,-1,-1
01000025,khtn,7.2,6.5,5.8,3,3.75,5.5,-1,-1,-1
01000026,khtn,7,2.25,9.8,6.5,3,6,-1,-1,-1
01000027,khtn,7.6,6.5,4.8,7.25,6.25,5.75,-1,-1,-1
01000028,khtn,8.6,8.75,8,4.75,4.5,7,-1,-1,-1
01000029,khxh,8.4,6.5,5.25,-1,-1,-1,9,9.8,6.25
01000030,khtn,8.6,7.75,7.6,6.25,3.75,7.5,-1,-1,-1
